Number;Start time in milliseconds;End time in milliseconds;"Text"
93;459190;463660;"- Mitsuha's gotta be feelin' stressed enough as it is, right? - What are you guys talking about?"
94;463660;465660;"Are you feelin' okay?"
95;466910;473710;"And above all, restoring the town's fiscal health so we can continue our revitalization project."
96;473710;479610;"It's only when all these things are achieved that we can create a safe and secure community."
97;479920;484900;"- As the incumbent, my administration... - Miyamizu's gonna get another term anyway."
98;484900;488270;"I hear he's been dullin' out the pork. Just between us."
99;488270;491450;"- Hey, Miyamizu. - Mornin'."
100;491450;495650;"Looks like the mayor and the contractor's kid are pretty cozy, too."
101;495650;499790;"-To improve the quality of life of each and every resident."
102;500840;502540;"- Mitsuha! - [Gasp]"
103;502670;505140;"Stand up straight when you're walking!"
104;505550;507510;"Oh, he's tough on his family."
105;507510;508970;"Well, that's the mayor for ya."
106;508970;511420;"- Awkward. - Sucks to be her."
107;512420;514140;"Mitsuha!"
108;514830;516480;"In front of everyone."
109;519900;521180;""Who are you?""
110;528680;531110;""Tasokare" [Twilight]"
111;530450;534010;""Two light." That's the origin of the word twilight."
112;534010;536770;"I'm sure everyone here knows that word."
113;536770;540220;"It's dusk, a time when It's neither day nor night."
114;540500;542690;"When the border between worlds blur,"
115;542690;545670;"and one might encounter something not human."
116;546510;550350;"Another older term for it is dusk light."
117;550350;553510;"Some people also call it "golden hour"."
118;550750;556210;""Karetaso/Kawatare = Who is that?""
119;553510;556370;"-What about "magic hour"? It's something my grandma says."
120;556370;560140;"-Well, golden hour and magic hour are technically the same,"
121;560140;562860;"but it's a term that mostly photographers use."
122;562860;567220;""Who are you?""
123;563300;566780;"- Well, she does take a lot of pictures. - [CLASS Laughing]"
124;568090;569980;"-Okay, next..."
125;569980;572330;"- Miyamizu! - Uh, yes?"
126;572330;575700;"Well, I can see that you remember your own name today."
127;575700;577700;"[Laughing]"
128;579000;581660;"Sayaka: You... don't remember? mitsuha: Uh-uh..."
129;581660;585880;"Well, believe it or not, you forgot where your own desk and locker were yesterday."
130;585880;589980;"Plus, you had the worst case of bedhead, and you didn't have your ribbon on, either!"
131;592860;594540;"What?! No way!"
132;594540;597190;"Yeah, it was like you had amnesia or somethin'."
133;597190;601840;"Now that you mention it, I do feel like I've been havin' weird dreams lately."
134;601840;605860;"Like a dream about someone else's life?"
135;606020;608120;"It's all so fuzzy."
136;608120;610660;"Wait a sec, I've got it..."
137;610660;612420;"It's memories from a previous life,"
138;612420;616250;"or maybe your subconscious linked to the Everett interpretation of the multiverse!"
139;616250;617570;"Keep your full mouth shut!"
140;617570;622390;"Wait a minute! Teshi, don't tell me you were the one who wrote in my noteboo... k."
141;623080;624510;"Forget it."
142;625170;629500;"But you really were actin' just a little funny yesterday, Mitsuha."
143;629800;631730;"You been feelin' okay?"
144;632450;635450;"That's what's weird. I feel fine."
145;635580;639600;"Maybe it's from stress. You know, you've got that ritual comin' up soon, don'tcha?"
146;639600;641800;"Ugh, don't remind me!"
147;641800;646380;"I can't stand this place anymore! It's too small and town-ey."
148;646380;650870;"I wanna graduate already and go to Tokyo as soon as I can!"
149;650960;656130;"-Can't say I blame you. There really Is nothin' at all in this town."
150;657100;661660;"-There's only one train that stops here every two hours -and all the stores close at nine o' clock."
151;661660;663770;"No bookstores, no dentists,"
152;663490;665940;""Mother's" "Cat's Eye Pub""
153;663770;666140;"but two cocktail lounges for whatever reason."
154;666140;668620;"- No jobs in town. - No one date-able."
155;668620;671230;"Even the days are too short."
156;672340;673470;"You know what?!"
157;673470;675150;"- No, what? - No, what?"
158;675960;678500;"Forget that stuff. why don't we go to a café?"
159;678500;679960;"- A café? - Really?"
160;679960;681260;"- Where?! - Where?!"
161;685820;686800;"Hello, kids!"
162;686800;688160;"- Hi, there! - Evenin', ma'am!"
163;693050;696740;"- How is this a café? - Like this town's got a café."
164;697050;699680;"Mitsuha just went straight home."
165;700670;705480;"- Things have gotta be really rough for her right now. - She's on center stage and all."
166;705480;706480;"Yeah..."
167;709810;712440;"- Hey, Teshi... - Hm?"
168;712800;715900;"What are you gonna do after you graduate high school?"
169;715900;718880;"Where'd that come from? you talkin' about the future?"
170;718880;720370;"Mh-hm."
171;720660;725950;"I dunno. I think I'll probably just end up livin' in this town, y'know. Same as ever."
172;741880;743940;"I wanna do what you're doin'."
173;743940;746850;"It's still too soon for you to try, Yotsuha."
174;746850;749380;"Listen to the thread's voice."
175;749380;755880;"When you twine it round and round like this, feelings will start flowing between you and the thread."
176;756710;760950;"- It's not like threads talk... - She's telling you to focus."
177;760950;766570;"Etched within our braided cords is a thousand years' worth of Itomori's history."
178;766570;770620;"Listen. Somethin' happened two hundred years ago..."
179;770620;772040;"Here she goes."
180;772040;779170;"The bathroom of sandal maker Mayugoro Yamazaki caught on fire and this whole area burned down."
181;779270;782650;"The shrine and old Documents were destroyed."
182;782840;786070;"- This is known as... - Mayugoro's Great Fire."
183;786320;790600;"They named the fire after him?! I feel bad for Mayugoro."
184;791390;795150;"The meaning behind our festivals was lost because of that."
185;795150;797740;"Only the surface was left."
186;797740;802040;"But even if those words are gone, those words shouldn't fade."
187;802040;806530;"That's the Miyamizu shrine's duty. our important task."
188;807220;808830;"Ugh..."
189;808830;812660;"Despite all that, that son-in-law of mine!"
190;812660;818360;"Abandoning the Shinto priesthood and leaving this house were bad enough, but politics?!"
191;818360;821010;"Oh, he's hopeless!"
192;821460;823540;"-Have another, mister foreman."
193;826570;830390;"- I'll be counting on your help again for this election. - Leave it to me."
194;830390;834320;"You'll get the votes from the Kadoiri and Sakagami Districts, guaranteed."
195;834320;837960;"- How's the datin' scene? - It ain't easy, that's for sure."
196;839350;843520;"- Smells like corruption in there. - What are you talkin' about?"
197;844000;847280;"- We're gonna need two or three more bottles. - Yes, dear."
198;847280;850310;"Katsuhiko, you're gonna help out at the site this weekend."
199;850310;853520;"- We'll be usin' explosives, so you better study up. - Grngh."
200;853520;854580;"What was that?!"
201;854580;856580;"Got it!"
202;869280;871930;"Guess we both can't stand things here."
203;890460;893180;"Is that Yotsuha? She's all grown up."
204;893180;895900;"They're lookers, alright. Just like their mother."
205;897550;900520;"- Heya! - Hey."
206;932330;934700;"World's oldest kind of sake,"
207;934700;940660;"but chewin' on rice, spittin' it out, and then lettin' it ferment naturally, it becomes alcohol."
208;940660;942660;"Kuchikamizake."
209;942790;945720;"Do the gods really appreciate that. the way it's ma-"
210;945720;947910;"Yeah, of course they do!"
211;949660;953010;"Hey, check it out. It's Miyamizu."
212;957500;964030;"-Ugh! I'd never do that! -And in front of everybody! Embarrassing, right?"
213;977550;979870;"You should try to cheer up, sis."
214;980040;983010;"Who cares if a few of the kids from your school saw that?"
215;983010;985940;"It must be nice for you not being a teenager."
216;986410;991000;"Hey, I know! You should just sell Kuchikamizake and move to Tokyo!"
217;991000;995860;"I bet you could sell it with all sorts of stuff like photos and making-of videos."
218;995860;1001910;"Oh, and then you can call it "Shrine maiden's Sake"! You'll make buttloads!"
219;1001890;1003890;""Shrine Maiden's Sake""
220;1004600;1008280;"I can't! There are liquor laws!"
221;1008280;1010470;"That's what you have a problem with?"
222;1016430;1021320;"I hate this town! I hate this life, too!"
223;1021320;1028690;"Please make me a handsome tokyo boy in my next life!"
224;1030140;1032770;"Yotsuha: What a jackass."
225;1060320;1061820;"Ow..."
226;1074290;1075480;"Where...?"
227;1076150;1077260;"Huh?"
228;1083520;1084840;"Hmm?"
229;1086610;1089020;"Something's... there..."
230;1093900;1095040;"Aaaah!"
231;1102810;1103810;"Eh!"
232;1103880;1105840;"Taki's Father: Taki, you up?"
233;1107940;1111780;"It was your turn to cook breakfast, wasn't it? Did you sleep in?"
234;1111950;1113690;"I'm sorry."
235;1114020;1116040;"Ugh, I'm heading out."
236;1116040;1119110;"- Finish the miso. - Uh, okay..."
237;1119110;1122640;"Make sure you go to school, Even if you're late. Seeya."
238;1123280;1125550;"H-have a nice day."
239;1136140;1137860;"What a strange dream..."
240;1138430;1139300;"[Gasp]"
241;1139330;1142390;""From Tsukasa: Run, you're late!""
242;1143140;1146080;"Huh? It's from "Tsukasa"?"
243;1146580;1148990;"Who's that? Hrm."
244;1153780;1155160;"Uhhh..."
245;1157280;1159660;"I gotta go pee."
246;1168160;1170430;"Way too real..."
247;1220140;1222140;""Shinjuku Station""
248;1240840;1243750;"I'm in Tokyo!"
249;1245690;1249690;""Jingu High School""
250;1250060;1251840;"- Where did you get this? - Daikanyama."
251;1251840;1253360;"Guess who's opening at our next gig?"
252;1253360;1257180;"- W-wait wait, we have a gig? - Hey, let's skip club stuff today and catch a movie."
253;1259790;1260850;"Uh..."
254;1261690;1263710;"Taaaki!"
255;1264540;1267660;"Can't believe you got in at noon. come on, let's grab lunch!"
256;1268780;1271250;"You ignored my text, too!"
257;1271250;1275380;"- Mr. Tsukasa. - "Mister"? You don't have to go that far."
258;1276690;1278870;"- You got lost? - Yeah."
259;1278900;1283030;"Wait a second. How'd you wind up getting lost on the way to school?"
260;1283030;1284110;"Uh..."
261;1284110;1286900;"-Well, a girl- -A girl?"
262;1286900;1287870;"A gal-"
263;1287870;1288600;"- Hm? - Hm?"
264;1288600;1289500;"I mean..."
265;1289500;1290390;"- Huh?! - Huh?!"
266;1290390;1291400;"A guy..."
267;1291400;1293120;"- [Nod] - [Nod]"
268;1293320;1299830;"Y'know, guys just wanna have fun. Every day's a festival when you're living in Tokyo... as a guy."
269;1299830;1302160;"Hey, you... sound funny."
270;1302170;1304260;"-And where's your lunch?"
271;1304260;1306950;"- Seriously? - What is up with you?"
272;1306950;1310370;"- We could share somethin'. - Let's make a croquette-egg sandwich."
273;1310460;1312310;"-Yes! Hahahaha!"
274;1312930;1314730;"Ah..."
275;1314730;1316410;"Thank you!"
276;1317810;1321190;"- Wanna hit the café later? - Oh, that one? Sure."
277;1321190;1322000;"-You in, Taki?"
278;1322000;1325080;"-What? What?! WHAT?!"
279;1325080;1326360;"A café?!"
280;1329510;1333580;"- They've got nice timberwork in here. - Yeah, it's pretty intricate."
281;1333950;1335720;"Taki, all set?"
282;1335720;1337630;"Uh...[Gasp]"
283;1337630;1340860;"I could live for a whole month on what these pancakes cost!"
284;1341450;1343900;"-Uh... maybe a decade ago."
285;1343900;1345850;"-Hmmm..."
286;1345850;1348380;"Oh, well! It's only a dream!"
287;1354510;1356880;"Dreams are great!"
288;1357020;1359020;"Huh?"
289;1361560;1364970;"Wha? Oh no! I think that I'm late for work."
290;1365160;1368260;"- You got a shift today? - Guess you better get goin'."
291;1368260;1370460;"Right."
292;1371110;1373710;"Sorry, but uh..."
293;1373710;1376470;"Where exactly do I work?"
294;1376470;1377910;"- Wha? - Wha?"
295;1383940;1388430;"- Tables six, seven, and ten are waiting! - Table twelve! Taki!"
296;1388430;1389490;"Got it!"
297;1389700;1391020;"Here you go."
298;1391020;1394250;"So, the zucchini and tomato salad with a side of..."
299;1394350;1395590;"- We didn't order that! - Wha?"
300;1395590;1400320;"- Taki! I told you that we are out of truffles! - Taki, you gotta talk louder!"
301;1400320;1401500;"Taki!"
302;1402610;1404940;"When is this nightmare gonna be over?!"
303;1413260;1414500;"Diner: Waiter."
304;1414780;1418080;"- Hey, you. - Uh, yes?"
305;1418880;1422420;"See this? Does it look right? a toothpick's in it."
306;1422730;1425420;"What would have happened if we ate it?"
307;1425710;1428370;"It's really lucky I noticed when I did."
308;1428940;1432790;"-Do something. -Uh... it's just that..."
309;1432850;1436770;"Well, I don't even think we have toothpicks at this-"
310;1436770;1438820;"What?!"
311;1438820;1442450;"Excuse me. Is everything alright over here?"
312;1442450;1445760;"- Well, like I was trying to tell the guy... - I'll take care of this."
313;1446250;1448420;"What's wrong with you today?"
314;1449300;1452690;"We truly apologize. your meal is on the house tonight."
315;1452690;1453840;"Why, thank you."
316;1454030;1456490;"You weren't hurt, were you?"
317;1466660;1470710;"- Uh... Oku... dera? - That's "Miss" to you."
318;1470990;1474740;"-Miss Okudera. About before- -We just had some bad luck is all."
319;1474740;1478260;"-No, I- I- -Those guys were definitely scamming us."
320;1478260;1481330;"I handled it according to the manual, but still..."
321;1481660;1484570;"Uh-Ms. Okudera, your skirt!"
322;1485800;1488000;"- Are you alright? - Did something happen?"
323;1488000;1489920;"Looks like someone cut it."
324;1489920;1491910;"That guy..."
325;1492340;1494910;"- Do you remember what he looked like? - No..."
326;1494980;1498750;"- Come with me. - Hey, Taki."
327;1499390;1500730;"Okay, take off your skirt."
328;1500730;1501590;"What?!"
329;1501590;1503360;"N- wh- I'll... I'll look the other way!"
330;1507830;1509850;"Hold on, this won't take long."
331;1514090;1516520;"All done! Ta-da!"
332;1516840;1520510;"You're really good, Taki! It's way cuter now!"
333;1521770;1526620;"By the way, I wanted to thank you for all your help with that customer earlier."
334;1527130;1531000;"To be honest, well... I was worried about you."
335;1531000;1535000;"You aren't that strong, but you're quick to pick a fight."
336;1535000;1537040;"I like you better today."
337;1537280;1540720;"You've got a feminine side. who woulda guessed?"
338;1541960;1543960;""JR Yamanote Line: 7 min.""
339;1551390;1555220;"I gotta say, this dream sure does seem real."
340;1559290;1562080;"Ah, looks like he keeps a journal."
341;1566290;1567990;"So organized."
342;1568590;1571490;"I wish I lived in Tokyo."
343;1574890;1576670;"One of her."
344;1581280;1583830;"Unrequited love?"
345;1588530;1594540;""Walked to the station with Ms. Okudera after work, thanks to my feminine powers!""
346;1596040;1597380;""Who are you?""
347;1607130;1610790;""Mitsuha""
348;1626940;1629380;"What is this?"
349;1627880;1629380;""Mitsuha""
350;1632520;1633810;"Wha?!"
351;1633810;1635300;"What?!"
352;1634920;1637750;""Thanks to my feminine powers!""
353;1635300;1637200;"What is going on?!"
354;1638590;1640140;"So, café today?"
355;1640200;1642530;"Thanks, but I gotta go to work."
356;1642530;1644700;"Ha, do you remember where to go?"
357;1644700;1646680;"Huh?...Ah!"
358;1646680;1650740;"Wait a second. Was that you, Tsukasa? Are you the one that's been messing with my phone?"
359;1650790;1653370;"Uh... Never mind."
360;1653690;1655120;"Later."
361;1655120;1657720;"Well, he's back to normal."
362;1657720;1660440;"I think he was kinda... cute yesterday."
363;1660440;1662420;"Uhhhhh...."
364;1664050;1666160;"Uh... what's up?"
365;1666160;1668480;"Don't play dumb. what about bro code, huh?!"
366;1668480;1671420;"Yeah, you walked home with her yesterday, right?"
367;1671940;1675630;"Uh, what are you talking about? me and Ms. Okudera?"
368;1675630;1677310;"- So what did you guys do?! - So what did you guys do?! - So what did you guys do?!"
369;1677310;1680630;"Uh, well... I don't remember, actually."
370;1680630;1682610;"Quit messin' around and tell us!"
371;1682610;1685540;"Okudera, reporting for duty!"
372;1685990;1691400;"-Don't slack off today, you guys. we're gonna have a good day today. -Yeah..."
373;1691400;1693780;"Aren't we, Taki?"
374;1701370;1702900;"Hmmm?"
375;1702900;1706400;""Mitsuha? Who are you?? What are you??""
376;1706930;1709900;"Yotsuha: I see you're not touching your boobies today."
377;1709900;1712980;"Breakfast time! Hurry up!"
378;1715820;1717050;"MY BOOBS?!"
379;1719510;1721640;"Mornin'!"
380;1726650;1730220;"I feel like everyone's starin' at me for some reason."
381;1730460;1734680;"- Well you did kinda make a scene yesterday. - Uh?!"
382;1735150;1737150;""Still-life drawing""
383;1736210;1738320;"-Did you see all the election posters?"
384;1738320;1741490;"-Doesn't matter who wins, nothin'll change, 'cept for who gets the kickback."
385;1741490;1746010;"-Shhh! Somebody's daddy's dependent on it."
386;1746200;1748080;"-They're talking about me, right?"
387;1748080;1750460;"Uh... [Nod]"
388;1750760;1752740;"Wait, Mitsuha?!"
389;1762210;1765020;"I... I..."
390;1765470;1767220;"I did what?!"
391;1769380;1771220;"Mitsuha?"
392;1776520;1780520;""What is this life?""
393;1777860;1780730;"Could this... could this mean-"
394;1780730;1785030;"-No, no, no, no! Could this mean... that we're really-"
395;1785480;1788400;"That we're... In our dreams, that guy and I-"
396;1788400;1791430;"That we're... In our dreams, that girl and I-"
397;1790980;1792040;""Life in Tokyo""
398;1790980;1792040;""What is this life?""
399;1792290;1793540;"- We're switching places?! - We're switching places?!"
400;1808380;1813140;"At last, hello, you've opened your eyes,"
401;1813140;1818690;"but why won't you even look me in the eyes, what's wrong with you?"
402;1818690;1823250;"You angrily tell me that I'm late."
403;1823250;1827990;"Well, I'm sorry, but I did my best and running at my fastest pace!"
404;1827990;1830740;"Mitsuha: I'm slowly beginning to realize what's going on."
405;1830850;1834200;"Taki's in high school and living in Tokyo."
406;1834860;1840490;"Taki: Two or three times a week, I'll suddenly and randomly switch with Mitsuha, who's somewhere out in the boonies."
407;1840500;1844540;"The trigger is sleep. The cause is unknown."
408;1841490;1843990;""Condition: Sleep? Cause: Unknown""
409;1844580;1849390;"Mitsuha: Any memories I have of the switch get more and more hazy after I wake up."
410;1849390;1852450;"Taki: But there's no doubt that we're switching places."
411;1852450;1855150;"The reactions of everyone around us prove it."
412;1855150;1856620;"And that's why..."
413;1856620;1861730;"Mitsuha: That's why we decided to lay out some ground rules so we could protect each other's way of life."
414;1857850;1861040;""Strictly forbidden!""
415;1861180;1864130;""No baths! No looking! No touching!""
416;1861730;1866530;"Things to watch out for during the switches, and a list of stuff we should never do."
417;1864230;1867470;""Don't waste money! no dialect! Don't be late!""
418;1866600;1871160;"Taki: We also agreed to leave each other reports on our phones on the days we switch places..."
419;1871160;1875560;"Mitsuha: So that we can work together to get through this... weird thing that's happening."
420;1876160;1877570;"-And yet..."
421;1877630;1879030;"-And yet..."
422;1879430;1881520;"- I cannot believe this guy! - I cannot believe this girl!"
423;1881520;1884100;"Back in the Zenzenzense 'til this day,"
424;1884100;1886100;"been looking everywhere for you."
425;1886100;1888590;"I followed the sound of your innocent laughter,"
426;1888590;1891690;"and it guided me in the right way."
427;1891690;1894210;"Even if every piece of you disappeared"
428;1894210;1896450;"and if it scattered everywhere..."
429;1896450;1899110;"Mitsuha: Guys will stare. Watch the skirt!"
430;1899110;1901810;"These are basics for a girl!"
431;1899620;1900950;""Careful with skirts!""
432;1904250;1909410;"Taki: Stop wasting my money on sweets! mitsuha: It's goin' in your body. Plus, I also worked for that money."
433;1908890;1910300;""Braided Cords...""
434;1909410;1911070;"Taki: Braiding cords is impossible!"
435;1911070;1914660;"Mitsuha: You work way too many shifts! taki: 'Cause you keep wasting money!"
436;1914660;1919210;"I wonder if we can push our way through"
437;1919210;1924910;"the countless barrier that's waiting In the future just beyond our view."
438;1924910;1929420;"Side-by-side, no way we can lose."
439;1929420;1934520;"We'll beat destiny at its own game and make it follow our own rules."
440;1935040;1939700;"Mitsuha: Had tea with Ms. Okudera on the way home. You two have a good thing going!"
441;1939700;1943210;"Taki: Quit messing with my relationships, Mitsuha!"
442;1943210;1946850;"-Hey, Taki... why is a girl confessing her love to me?"
443;1946850;1949350;"-Maybe you're just more Popular when I'm you."
444;1949350;1952490;"-You're so full of yourself! like you have a girlfriend!"
445;1949940;1952360;""Don't be so full of yourself!!""
446;1952490;1953970;"-It's not like you have anyone, either!"
447;1953970;1955720;"- I don't... - I don't..."
448;1955570;1957530;""Dummy""
449;1955570;1957530;""Idiot""
450;1955720;1957870;"- Because I don't want a relationship! - Because I don't want a relationship!"
451;1979500;1982210;"I shouldn't for her sake."
452;1985390;1987710;"Yotsuha: You sure do like your own boobies."
453;1987970;1991960;"Time to go! Get ready!"
454;1993000;1999810;"Over the course of the last few days, the Tiamat comet has been visible, but when and where can people see it?"
455;1999240;2005250;""Comet Tiamat to Reach Perigee""
456;1999930;2006980;"The Tiamat comet will be moving in the same direction the sun does: from East to West from our point of view."
457;2007450;2010310;"Why are you wearin' your uniform?"
458;2017900;2023370;"Yotsuha: Grandma, why does our shrine god's relic have to be kept so far away?"
459;2023370;2026830;"'Cause of Mayugoro, I don't really know."
460;2026830;2030420;"- Who's Mayugoro? - What? He's famous!"
461;2038150;2040340;"Hop on, grandma."
462;2044570;2046780;"- Oh! - Watch out! Careful!"
463;2057740;2062070;"Mitsuha. Yotsuha. Do you know about Musubi?"
464;2062070;2063200;"Mu... subi?"
465;2063200;2069060;"It's what we used to call the local guardian Deity long ago, and it means "union"."
466;2069060;2072300;"This word has profound meaning."
467;2072300;2080300;"Tying strings together is a union, connecting to People is a union, and the flow of time is a union."
468;2080870;2087710;"These are all part of the god's power. The braided cords that we make are tied to that."
469;2087710;2093270;"A skill from the god, they represent the flow of time itself."
470;2093970;2101940;"They assemble and take shape. They twist, tangle, unravel now and then, break..."
471;2101940;2104050;"and reconnect."
472;2104230;2108240;"That's what a union is. What time is."
473;2111310;2114080;"- Have a drink. - Thanks."
474;2114560;2119100;"- I want some, too! - That's also a union."
475;2119650;2126310;"Whether it's water, rice or sake, when something becomes a part of a person, it's a union."
476;2126310;2132960;"It joins their soul, which is why the offering we're making today is such an important custom."
477;2132960;2136350;"It connects the god with people."
478;2137990;2140110;"Hey, I can see it!"
479;2142990;2148980;"This is where it is. the sacred relic of Miyamizu Shrine."
480;2164220;2170490;"What lies ahead is the hereafter. It's the netherworld."
481;2171780;2174360;"The netherworld!"
482;2175950;2183170;"In order to return to this world, you have to leave behind what is most important to you."
483;2185160;2188380;"Like the kuchikamizake."
484;2188400;2190230;"Kuchikamizake?"
485;2190230;2197160;"You'll offer it at the foot of the shrine god's relic. After all, it is half of you."
486;2198830;2201670;"Half... of Mitsuha."
487;2218970;2222010;"Wow, it's already magic hour!"
488;2222090;2224010;"Magic hour?"
489;2233870;2239730;"- Oh, yeah! Maybe I can see the comet! - Huh? The comet?"
490;2240320;2243490;"Oh, Mitsuha..."
491;2243490;2246990;"you're dreaming right now, aren't you?"
492;2258050;2260950;"I'm crying? But why?"
493;2263010;2265510;""I'm almost there. Looking forward to it!""
494;2266130;2269820;"Ms. Okudera? She's almost where?"
495;2271150;2274160;"Oh, Mitsuha. What did you do?"
496;2274390;2275480;"Date?!"
497;2283120;2286300;"Mitsuha: "Tomorrow's your Tokyo date with Ms. okudera.""
498;2286320;2289090;""Meet up at the station at 10:30!""
499;2290480;2294020;"Well, that's what I had planned, but..."
500;2307260;2309790;"- Hi, Taki. - Huh? Agh!"
501;2310610;2315620;"- Wait long? - Yeah. Aah-no! Uh..."
502;2323860;2328110;"- I just got here. - Thank goodness. Let's go!"
503;2329690;2334090;"Must be nice. they've probably met up about now."
504;2337520;2339880;"Huh?"
505;2342230;2344740;"Why am I...?"
506;2345020;2347070;"Why...?"
507;2352400;2359700;""It was a date I wanted to go on, but if it so happens that you end up goin', you better be grateful and enjoy it!""
508;2360380;2367780;"This is nice! It's my first time here. so, is this one of your usual go-to spots?"
509;2364990;2370270;"Mitsuha: "At any rate, I bet you've never even been on a single date.""
510;2367780;2370270;"No way, it's too expensive!"
511;2371250;2373230;"I don't know what to say to her."
512;2373230;2377900;""That's why I've handpicked some links below to help you out, ya wallflower!""
513;2377900;2378940;"For real?"
514;2379530;2380370;""You, too, can get a girlfriend!""
515;2382540;2385830;""Despite social anxiety, I got a girl!" "The dos and don'ts of texting!""
516;2386230;2388370;"She's making fun of me!"
517;2388380;2392390;""Photo Exhibition: Nostalgia""
518;2417170;2418960;"You know something, Taki?"
519;2419530;2424230;"Today, you're... you're like a different person."
520;2432450;2437810;"Ms. Okudera. You getting hungry? we could get dinner."
521;2438090;2443630;"- Uh... let's call it a day. - U-uh... Alright."
522;2444060;2448470;"- I could be wrong, and I'm sorry if I am... - About?"
523;2448590;2452410;"But you used to have a little crush on me, am I right?"
524;2453710;2457070;"But right now, there's someone else you like, huh?"
